format,model_1,model_2,winrate,variance,nb_battles,wins,losses,ties
gen1randombattle,MaxBasePower,MaxBasePower,0.53350000,0.000242370120,1000,520,453,27
gen1randombattle,MaxBasePower,SimpleHeuristics,0.18100000,0.000144883884,1000,174,812,14
gen1randombattle,MaxBasePower,crystal_10_00200,0.38850000,0.000235553303,1000,384,607,9
gen1randombattle,MaxBasePower,crystal_1_00200,0.40600000,0.000237901902,1000,399,587,14
gen1randombattle,MaxBasePower,crystal_1_00300,0.37450000,0.000233232983,1000,372,623,5
gen1randombattle,MaxBasePower,crystal_1_00500,0.40400000,0.000237021021,1000,396,588,16
gen1randombattle,MaxBasePower,crystal_2_00200,0.39200000,0.000235571572,1000,386,602,12
gen1randombattle,MaxBasePower,crystal_2_00300,0.41550000,0.000239849600,1000,409,578,13
gen1randombattle,MaxBasePower,crystal_2_00500,0.43000000,0.000241841842,1000,423,563,14
gen1randombattle,MaxBasePower,crystal_3_00200,0.37700000,0.000231602603,1000,370,616,14
gen1randombattle,MaxBasePower,crystal_3_00300,0.39700000,0.000236627628,1000,391,597,12
gen1randombattle,MaxBasePower,crystal_3_00500,0.41500000,0.000239514515,1000,408,578,14
gen1randombattle,MaxBasePower,crystal_4_00200,0.42650000,0.000242089840,1000,421,568,11
gen1randombattle,MaxBasePower,crystal_5_00200,0.41550000,0.000239849600,1000,409,578,13
gen1randombattle,MaxBasePower,crystal_6_00200,0.42850000,0.000243381131,1000,425,568,7
gen1randombattle,MaxBasePower,crystal_7_00200,0.40200000,0.000238134134,1000,397,593,10
gen1randombattle,MaxBasePower,crystal_8_00200,0.39300000,0.000236787788,1000,389,603,8
gen1randombattle,MaxBasePower,crystal_9_00200,0.39900000,0.000237036036,1000,393,595,12
gen1randombattle,MaxBasePower,fire_10_00300,0.40850000,0.000239617367,1000,404,587,9
gen1randombattle,MaxBasePower,fire_1_00300,0.39700000,0.000238129129,1000,394,600,6
gen1randombattle,MaxBasePower,fire_2_00300,0.38050000,0.000233202953,1000,375,614,11
gen1randombattle,MaxBasePower,fire_3_00300,0.41550000,0.000240850601,1000,411,580,9
gen1randombattle,MaxBasePower,fire_4_00300,0.38700000,0.000232963964,1000,378,604,18
gen1randombattle,MaxBasePower,fire_5_00300,0.40200000,0.000238134134,1000,397,593,10
gen1randombattle,MaxBasePower,fire_6_00300,0.42500000,0.000241116116,1000,418,568,14
gen1randombattle,MaxBasePower,fire_7_00300,0.39050000,0.000234994745,1000,384,603,13
gen1randombattle,MaxBasePower,fire_8_00300,0.41050000,0.000237977728,1000,402,581,17
gen1randombattle,MaxBasePower,fire_9_00300,0.40000000,0.000237237237,1000,394,594,12
gen1randombattle,MaxBasePower,red-hp-1-150,0.54950000,0.000243543293,1000,541,442,17
gen1randombattle,MaxBasePower,red-mixed-1-60,0.68800000,0.000210366366,1000,679,303,18
gen1randombattle,MaxBasePower,red-outcome-1-140,0.64100000,0.000227846847,1000,636,354,10
gen1randombattle,MaxBasePower,red-shapped-1-100,0.66900000,0.000218157157,1000,662,324,14
gen1randombattle,MaxBasePower,red-skewed-enemy-1-150,0.69000000,0.000209109109,1000,680,300,20
gen1randombattle,MaxBasePower,red-skewed-own-1-20,0.67900000,0.000213672673,1000,670,312,18
gen1randombattle,SimpleHeuristics,SimpleHeuristics,0.48950000,0.000243883634,1000,477,498,25
gen1randombattle,SimpleHeuristics,crystal_10_00200,0.77300000,0.000174145145,1000,770,224,6
gen1randombattle,SimpleHeuristics,crystal_1_00200,0.77150000,0.000173210961,1000,765,222,13
gen1randombattle,SimpleHeuristics,crystal_1_00300,0.78250000,0.000167611361,1000,777,212,11
gen1randombattle,SimpleHeuristics,crystal_1_00500,0.77950000,0.000169799550,1000,775,216,9
gen1randombattle,SimpleHeuristics,crystal_2_00200,0.79750000,0.000157901652,1000,790,195,15
gen1randombattle,SimpleHeuristics,crystal_2_00300,0.79250000,0.000159853604,1000,783,198,19
gen1randombattle,SimpleHeuristics,crystal_2_00500,0.79850000,0.000157805556,1000,792,195,13
gen1randombattle,SimpleHeuristics,crystal_3_00200,0.79950000,0.000158207958,1000,795,196,9
gen1randombattle,SimpleHeuristics,crystal_3_00300,0.79100000,0.000160979980,1000,782,200,18
gen1randombattle,SimpleHeuristics,crystal_3_00500,0.78350000,0.000167545295,1000,779,212,9
gen1randombattle,SimpleHeuristics,crystal_4_00200,0.78850000,0.000165182933,1000,785,208,7
gen1randombattle,SimpleHeuristics,crystal_5_00200,0.76800000,0.000175851852,1000,763,227,10
gen1randombattle,SimpleHeuristics,crystal_6_00200,0.78400000,0.000164508509,1000,774,206,20
gen1randombattle,SimpleHeuristics,crystal_7_00200,0.79550000,0.000160089840,1000,790,199,11
gen1randombattle,SimpleHeuristics,crystal_8_00200,0.79000000,0.000163063063,1000,784,204,12
gen1randombattle,SimpleHeuristics,crystal_9_00200,0.78900000,0.000164143143,1000,784,206,10
gen1randombattle,SimpleHeuristics,fire_10_00300,0.77300000,0.000173644645,1000,769,223,8
gen1randombattle,SimpleHeuristics,fire_1_00300,0.79700000,0.000157448448,1000,788,194,18
gen1randombattle,SimpleHeuristics,fire_2_00300,0.79050000,0.000163022773,1000,785,204,11
gen1randombattle,SimpleHeuristics,fire_3_00300,0.77900000,0.000169328328,1000,773,215,12
gen1randombattle,SimpleHeuristics,fire_4_00300,0.78750000,0.000165259009,1000,783,208,9
gen1randombattle,SimpleHeuristics,fire_5_00300,0.80600000,0.000153517518,1000,800,188,12
gen1randombattle,SimpleHeuristics,fire_6_00300,0.76800000,0.000174350350,1000,760,224,16
gen1randombattle,SimpleHeuristics,fire_7_00300,0.77400000,0.000172596597,1000,769,221,10
gen1randombattle,SimpleHeuristics,fire_8_00300,0.78200000,0.000167643644,1000,776,212,12
gen1randombattle,SimpleHeuristics,fire_9_00300,0.78300000,0.000166577578,1000,776,210,14
gen1randombattle,SimpleHeuristics,red-hp-1-150,0.87050000,0.000110590340,1000,866,125,9
gen1randombattle,SimpleHeuristics,red-mixed-1-60,0.91950000,0.000072342092,1000,916,77,7
